omega,tau,n,m,c_ratio,q,num_seeds,babai_secret_success_rate,avg_time_sec
0.375,0.25,11,31,2.75,17,200,0.91,0.7681432414054871
0.375,0.25,11,33,3.0,17,200,0.915,0.8785562145709992
0.375,0.25,12,12,1.0,17,200,0.035,0.0037860381603240967
0.375,0.25,12,15,1.25,17,200,0.26,0.04442383289337158
0.375,0.25,12,18,1.5,17,200,0.65,0.12580873012542726
0.375,0.25,12,21,1.75,17,200,0.78,0.2519725441932678
0.375,0.25,12,24,2.0,17,200,0.875,0.41467230081558226
0.375,0.25,12,27,2.25,17,200,0.875,0.5892999494075775
0.375,0.25,12,30,2.5,17,200,0.87,0.7671466016769409
0.375,0.25,12,33,2.75,17,200,0.86,0.945681883096695
0.375,0.25,12,36,3.0,17,200,0.855,1.1154869306087494
0.375,0.25,13,13,1.0,17,200,0.035,0.005056486129760742
0.375,0.25,13,17,1.25,17,200,0.305,0.08355939388275146
0.375,0.25,13,20,1.5,17,200,0.625,0.1973969507217407
0.375,0.25,13,23,1.75,17,200,0.705,0.3548802626132965
0.375,0.25,13,26,2.0,17,200,0.765,0.5449524474143982
0.375,0.25,13,30,2.25,17,200,0.81,0.8320274829864502
0.375,0.25,13,33,2.5,17,200,0.755,1.0122249913215637
0.375,0.25,13,36,2.75,17,200,0.84,1.2119332587718963
0.375,0.25,13,39,3.0,17,200,0.8,1.4455718350410462
0.375,0.25,14,14,1.0,17,200,0.02,0.007546075582504272
0.375,0.25,14,18,1.25,17,200,0.245,0.10876037120819092
0.375,0.25,14,21,1.5,17,200,0.475,0.24482964396476745
0.375,0.25,14,25,1.75,17,200,0.725,0.5036268281936646
0.375,0.25,14,28,2.0,17,200,0.715,0.7412592709064484
0.375,0.25,14,32,2.25,17,200,0.795,1.0254615819454194
0.375,0.25,14,35,2.5,17,200,0.715,1.2734684574604034
0.375,0.25,14,39,2.75,17,200,0.675,1.593398095369339
0.375,0.25,14,42,3.0,17,200,0.675,1.8159761619567871
0.375,0.25,15,15,1.0,17,200,0.005,0.013096283674240112
0.375,0.25,15,19,1.25,17,200,0.13,0.16385279417037965
0.375,0.25,15,23,1.5,17,200,0.45,0.404842392206192
0.375,0.25,15,27,1.75,17,200,0.55,0.7530715739727021
0.375,0.25,15,30,2.0,17,200,0.63,1.0359203338623046
0.375,0.25,15,34,2.25,17,200,0.675,1.4341885423660279
0.375,0.25,15,38,2.5,17,200,0.635,1.7687196743488312
0.375,0.25,15,42,2.75,17,200,0.585,2.1406038200855253
0.375,0.25,15,45,3.0,17,200,0.64,2.43552210688591
